tsample,q1,q2,qd1,qd2,qdd1,qdd2
0,-0.024,0.12,0,0,0,0.0315571428571429
0.05,-0.024,0.120039446428571,0,0.00157785714285714,0,0.0315571428571429
0.1,-0.024,0.120157785714286,0,0.00315571428571429,0,0.0315571428571429
0.15,-0.024,0.120355017857143,0,0.00473357142857143,0,0.0315571428571429
0.2,-0.024,0.120631142857143,0,0.00631142857142857,0,0.0315571428571429
0.25,-0.024,0.120986160714286,0,0.00788928571428571,0,0.0315571428571429
0.3,-0.024,0.121420071428571,0,0.00946714285714286,0,0.0315571428571429
0.35,-0.024,0.121932875,0,0.011045,0,0.0315571428571429
0.4,-0.024,0.122524571428571,0,0.0126228571428571,0,0.0315571428571429
0.45,-0.024,0.123195160714286,0,0.0142007142857143,0,0.0315571428571429
0.5,-0.024,0.123944642857143,0,0.0157785714285714,0,0.0315571428571429
0.55,-0.024,0.124773017857143,0,0.0173564285714286,0,0.0315571428571429
0.6,-0.024,0.125680285714286,0,0.0189342857142857,0,0.0315571428571429
0.65,-0.024,0.126666446428571,0,0.0205121428571429,0,0.0315571428571429
0.7,-0.024,0.1277315,0,0.02209,0,0.0315571428571429
0.75,-0.024,0.128875446428571,0,0.0236678571428571,0,0.0315571428571429
0.8,-0.024,0.130098285714286,0,0.0252457142857143,0,0.0315571428571429
0.85,-0.024,0.131400017857143,0,0.0268235714285714,0,0.0315571428571429
0.9,-0.024,0.132780642857143,0,0.0284014285714286,0,0.0315571428571429
0.95,-0.024,0.134240160714286,0,0.0299792857142857,0,0.0315571428571429
1,-0.024,0.135778571428571,0,0.0315571428571429,0,0.0315571428571429
1.05,-0.024,0.137395875,0,0.033135,0,0.0315571428571429
1.1,-0.024,0.139092071428571,0,0.0347128571428571,0,0.0315571428571429
1.15,-0.024,0.140867160714286,0,0.0362907142857143,0,0.0315571428571429
1.2,-0.024,0.142721142857143,0,0.0378685714285714,0,0.0315571428571429
1.25,-0.024,0.144654017857143,0,0.0394464285714286,0,0.0315571428571429
1.3,-0.024,0.146665785714286,0,0.0410242857142857,0,0.0315571428571429
1.35,-0.024,0.148756446428571,0,0.0426021428571429,0,0.0315571428571429
1.4,-0.024,0.150926,0,0.04418,0,0.0315571428571429
1.45,-0.024,0.153174446428571,0,0.0457578571428571,0,0.0315571428571429
1.5,-0.024,0.1555,0,0.047,0,0
1.55,-0.024,0.15785,0,0.047,0,0
1.6,-0.024,0.1602,0,0.047,0,0
1.65,-0.024,0.16255,0,0.047,0,0
1.7,-0.024,0.1649,0,0.047,0,0
1.75,-0.024,0.16725,0,0.047,0,0
1.8,-0.024,0.1696,0,0.047,0,0
1.85,-0.024,0.17195,0,0.047,0,0
1.9,-0.024,0.1743,0,0.047,0,0
1.95,-0.024,0.17665,0,0.047,0,0
2,-0.024,0.179,0,0.047,0,0
2.05,-0.024,0.18135,0,0.047,0,0
2.1,-0.024,0.1837,0,0.047,0,0
2.15,-0.024,0.18605,0,0.047,0,0
2.2,-0.024,0.1884,0,0.047,0,0
2.25,-0.024,0.19075,0,0.047,0,0
2.3,-0.024,0.1931,0,0.047,0,0
2.35,-0.024,0.19545,0,0.047,0,0
2.4,-0.024,0.1978,0,0.047,0,0
2.45,-0.024,0.20015,0,0.047,0,0
2.5,-0.024,0.2025,0,0.047,0,0
2.55,-0.024,0.20485,0,0.047,0,0
2.6,-0.024,0.2072,0,0.047,0,0
2.65,-0.024,0.20955,0,0.047,0,0
2.7,-0.024,0.2119,0,0.047,0,0
2.75,-0.024,0.21425,0,0.047,0,0
2.8,-0.024,0.2166,0,0.047,0,0
2.85,-0.024,0.21895,0,0.047,0,0
2.9,-0.024,0.2213,0,0.047,0,0
2.95,-0.024,0.22365,0,0.047,0,0
3,-0.024,0.225992857142857,0,0.0463285714285714,0,-0.0315571428571429
3.05,-0.024,0.228269839285714,0,0.0447507142857143,0,-0.0315571428571429
3.1,-0.024,0.230467928571429,0,0.0431728571428572,0,-0.0315571428571429
3.15,-0.024,0.232587125,0,0.041595,0,-0.0315571428571429
3.2,-0.024,0.234627428571429,0,0.0400171428571429,0,-0.0315571428571429
